Date,Name,Category,Type,Amount,Notes,Created,January,February,March,April,May,June,July,August,September,October,November,December
"January 2, 2024",Ăn bánh xèo,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),288000,Đi với mấy đứa nhỏ,"January 2, 2024 9:55 AM",288000,0,0,0,0,0,0,0,0,0,0,0
"January 2, 2024",Sách tiki,Giáo dục (https://www.notion.so/Gi-o-d-c-dfb222b500634e0e9d0fb389b495154a?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),173000,,"January 2, 2024 6:39 PM",173000,0,0,0,0,0,0,0,0,0,0,0
"January 2, 2024",Lotte,Mua sắm (https://www.notion.so/Mua-s-m-d4dae4175a014e4ca1ec27da23dd373b?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),350000,"Sữa tắm, giấy bọc, bánh quy","January 2, 2024 8:50 PM",350000,0,0,0,0,0,0,0,0,0,0,0
"January 2, 2024",Thuốc pharma,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),220000,"Nước muối, nước mắt nhân tạo, men vi sing","January 2, 2024 8:51 PM",220000,0,0,0,0,0,0,0,0,0,0,0
"January 2, 2024",Bàn chải đánh răng,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),150000,,"January 2, 2024 10:02 PM",150000,0,0,0,0,0,0,0,0,0,0,0
"January 3, 2024",Nước,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),65000,,"January 4, 2024 12:06 PM",65000,0,0,0,0,0,0,0,0,0,0,0
"January 4, 2024",Tiền nhà,Hoá đơn - Thanh toán định kì (https://www.notion.so/Ho-n-Thanh-to-n-nh-k-69e6e15431934b5bb36651c0332101da?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),4870000,,"January 4, 2024 12:06 PM",4870000,0,0,0,0,0,0,0,0,0,0,0
"January 4, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Lãng phí (Wasted) (https://www.notion.so/L-ng-ph-Wasted-072aa5468ba548e3a634e90258b6a4cc?pvs=21),58000,,"January 4, 2024 12:07 PM",58000,0,0,0,0,0,0,0,0,0,0,0
"January 4, 2024",Lotte,Mua sắm (https://www.notion.so/Mua-s-m-d4dae4175a014e4ca1ec27da23dd373b?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),369000,"Cháo, bánh, dầu ăn","January 4, 2024 11:28 PM",369000,0,0,0,0,0,0,0,0,0,0,0
"January 5, 2024",Pin remote máy lạnh,Mua sắm (https://www.notion.so/Mua-s-m-d4dae4175a014e4ca1ec27da23dd373b?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),18000,,"January 6, 2024 7:45 AM",18000,0,0,0,0,0,0,0,0,0,0,0
"January 6, 2024",Đi chợ,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),166000,,"January 6, 2024 11:41 AM",166000,0,0,0,0,0,0,0,0,0,0,0
"January 6, 2024",Internet,Hoá đơn - Thanh toán định kì (https://www.notion.so/Ho-n-Thanh-to-n-nh-k-69e6e15431934b5bb36651c0332101da?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),240000,,"January 6, 2024 11:49 AM",240000,0,0,0,0,0,0,0,0,0,0,0
"January 6, 2024",Nạp tiền điện thoại,Other (https://www.notion.so/Other-a986c0546fd64d92af8b5fdf74a9f1c4?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),50000,,"January 6, 2024 1:28 PM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 6, 2024",Bánh mì,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),20000,,"January 6, 2024 4:23 PM",20000,0,0,0,0,0,0,0,0,0,0,0
"January 7, 2024",Cà phê Shin - Khe sanh,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),220000,,"January 7, 2024 7:04 PM",220000,0,0,0,0,0,0,0,0,0,0,0
"January 7, 2024",Cà phê gói trung nguyên,Mua sắm (https://www.notion.so/Mua-s-m-d4dae4175a014e4ca1ec27da23dd373b?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),75000,,"January 7, 2024 7:05 PM",75000,0,0,0,0,0,0,0,0,0,0,0
"January 5, 2024",Ăn trưa,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),42000,,"January 8, 2024 11:02 PM",42000,0,0,0,0,0,0,0,0,0,0,0
"January 8, 2024",Ăn tối,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),68000,,"January 8, 2024 11:02 PM",68000,0,0,0,0,0,0,0,0,0,0,0
"January 9, 2024",Nước,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),65000,,"January 9, 2024 5:50 PM",65000,0,0,0,0,0,0,0,0,0,0,0
"January 9, 2024",Giấy lọc cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),152000,,"January 9, 2024 10:20 PM",152000,0,0,0,0,0,0,0,0,0,0,0
"January 10, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),29000,,"January 10, 2024 11:17 AM",29000,0,0,0,0,0,0,0,0,0,0,0
"January 10, 2024",Cơm gà,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),45000,,"January 10, 2024 1:25 PM",45000,0,0,0,0,0,0,0,0,0,0,0
"January 10, 2024",Hớt tóc,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),70000,,"January 10, 2024 8:19 PM",70000,0,0,0,0,0,0,0,0,0,0,0
"January 10, 2024",Bún bò,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),40000,,"January 10, 2024 8:20 PM",40000,0,0,0,0,0,0,0,0,0,0,0
"January 11, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),29000,,"January 11, 2024 9:42 AM",29000,0,0,0,0,0,0,0,0,0,0,0
"January 11, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),33000,,"January 11, 2024 9:43 AM",33000,0,0,0,0,0,0,0,0,0,0,0
"January 11, 2024",Đổ xăng,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),50000,,"January 11, 2024 9:43 AM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 11, 2024",Bánh cuốn tây sơn,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),69000,,"January 11, 2024 11:57 PM",69000,0,0,0,0,0,0,0,0,0,0,0
"January 12, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),48000,,"January 12, 2024 9:00 AM",48000,0,0,0,0,0,0,0,0,0,0,0
"January 13, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),23000,,"January 13, 2024 11:10 AM",23000,0,0,0,0,0,0,0,0,0,0,0
"January 13, 2024",Đổ xăng,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),50000,,"January 13, 2024 5:38 PM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 15, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),33000,,"January 15, 2024 9:19 AM",33000,0,0,0,0,0,0,0,0,0,0,0
"January 15, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),48000,,"January 15, 2024 9:19 AM",48000,0,0,0,0,0,0,0,0,0,0,0
"January 15, 2024",Trả tín dụng,Hoá đơn - Thanh toán định kì (https://www.notion.so/Ho-n-Thanh-to-n-nh-k-69e6e15431934b5bb36651c0332101da?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),6154000,,"January 15, 2024 8:39 PM",6154000,0,0,0,0,0,0,0,0,0,0,0
"January 16, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),23000,,"January 16, 2024 8:40 AM",23000,0,0,0,0,0,0,0,0,0,0,0
"January 17, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),12000,,"January 17, 2024 8:31 AM",12000,0,0,0,0,0,0,0,0,0,0,0
"January 17, 2024",cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),29000,,"January 17, 2024 8:31 AM",29000,0,0,0,0,0,0,0,0,0,0,0
"January 17, 2024",Cơm tấm,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),46000,,"January 17, 2024 8:32 PM",46000,0,0,0,0,0,0,0,0,0,0,0
"January 19, 2024",Bánh mì que,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),10000,,"January 19, 2024 8:51 AM",10000,0,0,0,0,0,0,0,0,0,0,0
"January 19, 2024",Xanh Sm bike,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),20000,,"January 19, 2024 8:51 AM",20000,0,0,0,0,0,0,0,0,0,0,0
"January 19, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),48000,,"January 19, 2024 8:52 AM",48000,0,0,0,0,0,0,0,0,0,0,0
"January 19, 2024",Xanh SM bike,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),52000,,"January 20, 2024 8:57 AM",52000,0,0,0,0,0,0,0,0,0,0,0
"January 20, 2024",Cháo gói,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),33000,,"January 20, 2024 5:33 PM",33000,0,0,0,0,0,0,0,0,0,0,0
"January 21, 2024",Bún bò,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),61000,,"January 21, 2024 1:23 PM",61000,0,0,0,0,0,0,0,0,0,0,0
"January 21, 2024",Gửi xe cà phê,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),25000,,"January 21, 2024 1:24 PM",25000,0,0,0,0,0,0,0,0,0,0,0
"January 21, 2024",Phở,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),40000,,"January 21, 2024 6:33 PM",40000,0,0,0,0,0,0,0,0,0,0,0
"January 21, 2024",Chuối,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),11000,,"January 21, 2024 6:34 PM",11000,0,0,0,0,0,0,0,0,0,0,0
"January 21, 2024",Kem đánh răng,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),74000,,"January 21, 2024 6:34 PM",74000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Đổ xăng,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),50000,,"January 22, 2024 8:52 AM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Cà phê,Cà phê (https://www.notion.so/C-ph-331b55dad1ec48bebb3fcf6dae9e8cc5?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),48000,,"January 22, 2024 9:37 AM",48000,0,0,0,0,0,0,0,0,0,0,0
"January 19, 2024",Tiền grab,Đi lại (https://www.notion.so/i-l-i-90e61bd171bc4d538722d78bea485584?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),36000,,"January 22, 2024 9:38 AM",36000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Cơm tấm,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),58000,,"January 22, 2024 1:33 PM",58000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Cháo gà,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),50000,,"January 22, 2024 6:37 PM",50000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Nước uống,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),10000,,"January 22, 2024 11:07 PM",10000,0,0,0,0,0,0,0,0,0,0,0
"January 22, 2024",Thuốc cảm,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),48000,,"January 22, 2024 11:08 PM",48000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Bánh mì que,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),15000,,"January 23, 2024 11:20 AM",15000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Ăn trưa,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),59000,,"January 23, 2024 3:01 PM",59000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Trà xanh,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Lãng phí (Wasted) (https://www.notion.so/L-ng-ph-Wasted-072aa5468ba548e3a634e90258b6a4cc?pvs=21),75000,,"January 23, 2024 3:01 PM",75000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Chích thuốc,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),100000,,"January 23, 2024 8:04 PM",100000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Bún bò,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),40000,,"January 23, 2024 8:04 PM",40000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Nước,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),26000,,"January 23, 2024 8:05 PM",26000,0,0,0,0,0,0,0,0,0,0,0
"January 23, 2024",Xịt ho,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),129000,,"January 23, 2024 10:36 PM",129000,0,0,0,0,0,0,0,0,0,0,0
"January 24, 2024",Ăn sáng,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),33000,,"January 24, 2024 8:30 AM",33000,0,0,0,0,0,0,0,0,0,0,0
"January 24, 2024",Chích thuốc cảm,Sức khoẻ (https://www.notion.so/S-c-kho-e0597c901e1948e780fec8fbaba7f052?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),100000,,"January 24, 2024 8:30 AM",100000,0,0,0,0,0,0,0,0,0,0,0
"January 24, 2024",Dừa,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phát sinh (Nice to have) (https://www.notion.so/Ph-t-sinh-Nice-to-have-3f752b74ede6432499aed1bac04eebdd?pvs=21),18000,,"January 24, 2024 8:31 AM",18000,0,0,0,0,0,0,0,0,0,0,0
"January 24, 2024",Cơm tấm,Thực phẩm (https://www.notion.so/Th-c-ph-m-ef27e256a4ba47258728769a71c38f85?pvs=21),Phải chi (Must have) (https://www.notion.so/Ph-i-chi-Must-have-fb3b0be36d0f495997f83ca90e8df66c?pvs=21),57000,,"January 25, 2024 8:21 AM",57000,0,0,0,0,0,0,0,0,0,0,0
